name,min,max
4DCS.40HLA40CT602,0.00,350.00
4DCS.40HLA40CT603,0.00,350.00
4DCS.42HLA42CF101F,0.00,1000.00
4DCS.42HLA42CF102F,0.00,1000.00
4DCS.42HLA42CP101,0.00,2.00
4DCS.42HLA42CP102,0.00,2.00
4DCS.42HLA42CT601,0.00,330.00
4DCS.42HLA22CP103,0.00,4.60
4DCS.42HLA22CT309,0.00,60.00
4DCS.42HLB12AN801CE,0.00,100.00
4DCS.42HLB12AA101AI,0.00,100.00
4DCS.40HNA12CP110,-6.00,0.00
4DCS.40HNA12CT603,0.00,360.00
N4BKYYQCY,0.00,4.00
4DCS.40HNA12CP111,-6.00,0.00
4DCS.40HNA12CQ102A0,0.00,26.00
4DCS.40HNA12CT301,0.00,200.00
4DCS.40HNA12CT302,0.00,200.00
4DCS.40HNA12CT303,0.00,200.00
4DCS.40HNA12CT304,0.00,200.00
N4BDDCCCY,0.00,5.00
4DCS.40HNA52CP101,-8.00,0.00
4DCS.40HNC12AN001CE,0.00,287.00
4DCS.40HNC12AA101AI,0.00,100.00
4DCS.40HNA11CP112,-8.00,0.00
4DCS.40HNA11CT606,0.00,360.00
N4AKYYQCY,0.00,4.00
4DCS.40HNA11CP113,-6.00,0.00
4DCS.40HNA11CQ102,0.00,26.00
4DCS.40HNA11CT301,0.00,200.00
4DCS.40HNA11CT302,0.00,200.00
4DCS.40HNA11CT303,0.00,200.00
4DCS.40HNA11CT304,0.00,200.00
N4ADDCCCY,0.00,5.00
4DCS.40HNA51CP101,-8.00,0.00
4DCS.40HNC11AN001CE,0.00,287.00
4DCS.40HNC11AA101AI,0.00,100.00
4DCS.40HLA50CT601,0.00,350.00
4DCS.40HLA50CT602,0.00,350.00
4DCS.40HLA50CT603,0.00,350.00
4DCS.42HLA41CF101F,0.00,1000.00
4DCS.42HLA41CF102F,0.00,1000.00
4DCS.42HLA41CP101,0.00,2.00
4DCS.42HLA41CP102,0.00,2.00
4DCS.42HLA41CT601,0.00,330.00
4DCS.41HLA41CF101F,0.00,120.00
4DCS.41HLA41CF102F,0.00,120.00
4DCS.41HLA51CF101F,0.00,260.00
4DCS.41HLA51CF102F,0.00,260.00
4DCS.41HLA51CP101,0.00,13.00
4DCS.41HLA51CP102,0.00,13.00
4DCS.41HLA51CT301,0.00,350.00
4DCS.41HLA21CP103,0.00,13.00
4DCS.41HLA21CT309,0.00,60.00
4DCS.41HLB11AN001CE,0.00,166.00
